kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 247 : 15 75 0 0 0 3 3 0 0 
_1.ptx 250 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 246 : 15 165 0 0 0 0 0 0 0 
_1.ptx 245 : 15 156 0 0 0 0 0 0 0 
_1.ptx 244 : 15 105 0 0 0 0 0 0 0 
_1.ptx 243 : 15 168 0 0 0 0 0 0 0 
_1.ptx 242 : 15 165 0 0 0 0 0 0 0 
_1.ptx 241 : 15 45 0 0 0 0 0 0 0 
_1.ptx 239 : 256 1446 0 0 0 0 0 0 3 
_1.ptx 238 : 256 2080 0 0 0 0 0 0 0 
_1.ptx 237 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 236 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 218 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 217 : 256 0 0 0 0 0 0 0 0 
_1.ptx 216 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 215 : 256 2784 0 0 0 0 0 0 0 
_1.ptx 214 : 256 1568 0 0 0 0 0 0 0 
_1.ptx 212 : 256 3328 0 0 0 0 0 0 0 
_1.ptx 211 : 256 2368 0 8 8 0 0 0 0 
_1.ptx 210 : 256 2208 0 8 8 0 0 0 0 
_1.ptx 209 : 256 3392 0 0 0 0 0 0 0 
_1.ptx 208 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 207 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 206 : 256 3360 0 0 0 0 0 0 0 
_1.ptx 205 : 256 2144 0 8 8 0 0 0 0 
_1.ptx 204 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 203 : 256 3360 0 0 0 0 0 0 0 
_1.ptx 202 : 256 2208 0 8 8 0 0 0 0 
_1.ptx 201 : 256 2144 0 8 8 0 0 0 0 
_1.ptx 200 : 256 3424 0 0 0 0 0 0 0 
_1.ptx 199 : 256 2368 0 8 8 0 0 0 0 
_1.ptx 198 : 256 2368 0 8 8 0 0 0 0 
_1.ptx 197 : 256 3456 0 0 0 0 0 0 0 
_1.ptx 196 : 256 2336 0 8 8 0 0 0 0 
_1.ptx 195 : 256 2240 0 8 8 0 0 0 0 
_1.ptx 194 : 256 3360 0 0 0 0 0 0 0 
_1.ptx 193 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 192 : 256 2176 0 8 8 0 0 0 0 
_1.ptx 191 : 256 3424 0 0 0 0 0 0 0 
_1.ptx 190 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 189 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 188 : 256 3392 0 0 0 0 0 0 0 
_1.ptx 187 : 256 2240 0 8 8 0 0 0 0 
_1.ptx 186 : 256 2176 0 8 8 0 0 0 0 
_1.ptx 185 : 256 3392 0 0 0 0 0 0 0 
_1.ptx 184 : 256 2272 0 8 8 0 0 0 0 
_1.ptx 183 : 256 2208 0 8 8 0 0 0 0 
_1.ptx 182 : 256 3424 0 0 0 0 0 0 0 
_1.ptx 181 : 256 2272 0 8 8 0 0 0 0 
_1.ptx 180 : 256 2336 0 8 8 0 0 0 0 
_1.ptx 179 : 256 3392 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2400 0 8 8 0 0 0 0 
_1.ptx 177 : 256 2176 0 8 8 0 0 0 0 
_1.ptx 176 : 256 3456 0 0 0 0 0 0 0 
_1.ptx 175 : 256 2144 0 8 8 0 0 0 0 
_1.ptx 174 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 173 : 256 3328 0 0 0 0 0 0 0 
_1.ptx 172 : 256 2304 0 8 8 0 0 0 0 
_1.ptx 171 : 256 2592 0 8 8 0 0 0 0 
_1.ptx 170 : 256 3392 0 0 0 0 0 0 0 
_1.ptx 169 : 256 2176 0 8 8 0 0 0 0 
_1.ptx 168 : 256 2400 0 8 8 0 0 0 0 
_1.ptx 167 : 256 3328 0 0 0 0 0 0 0 
_1.ptx 166 : 256 2208 0 8 8 0 0 0 0 
_1.ptx 165 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 156 : 42 252 0 0 0 0 0 0 0 
_1.ptx 155 : 42 222 0 7 7 0 0 0 0 
_1.ptx 154 : 42 5196 0 0 0 8 7 0 0 
_1.ptx 153 : 42 468 0 0 0 0 0 0 0 
_1.ptx 152 : 42 426 0 0 0 0 0 0 0 
_1.ptx 151 : 42 300 0 0 0 0 0 0 0 
_1.ptx 150 : 42 468 0 0 0 0 0 0 0 
_1.ptx 163 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 134 : 70 448 0 0 0 0 0 0 0 
_1.ptx 149 : 42 516 0 0 0 0 0 0 0 
_1.ptx 148 : 42 132 0 0 0 0 0 0 0 
_1.ptx 133 : 70 364 0 3 3 0 0 0 0 
_1.ptx 160 : 214 1128 0 8 8 0 0 0 0 
_1.ptx 159 : 214 1284 0 0 0 0 0 0 0 
_1.ptx 132 : 70 19180 384 0 0 5 3 0 0 
_1.ptx 146 : 256 1284 0 0 0 0 0 0 7 
_1.ptx 145 : 256 2080 0 0 0 0 0 0 0 
_1.ptx 131 : 70 770 0 0 0 0 0 0 0 
_1.ptx 144 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 143 : 256 2080 0 0 0 0 0 0 0 
_1.ptx 130 : 70 728 0 0 0 0 0 0 0 
_1.ptx 274 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 75 : 256 1728 0 0 0 0 0 0 0 
_1.ptx 273 : 1024 6208 0 0 0 0 0 0 0 
_1.ptx 74 : 256 1920 0 0 0 0 0 0 0 
_1.ptx 272 : 1024 6240 0 0 0 0 0 0 0 
_1.ptx 73 : 256 3488 0 0 0 0 0 0 0 
_1.ptx 271 : 1024 33120 0 0 0 0 0 0 0 
_1.ptx 72 : 256 1920 0 0 0 0 0 0 0 
_1.ptx 270 : 1024 154272 0 0 0 0 0 0 0 
_1.ptx 71 : 256 1888 0 0 0 0 0 0 0 
_1.ptx 269 : 1024 164000 128 0 0 0 0 0 0 
_1.ptx 70 : 256 3168 0 0 0 0 0 0 0 
_1.ptx 69 : 256 2272 0 0 0 0 0 0 0 
_1.ptx 68 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 67 : 256 2560 0 0 0 0 0 0 0 
_1.ptx 66 : 256 37376 0 0 0 0 0 0 0 
_1.ptx 105 : 256 3360 0 0 0 0 0 0 0 
_1.ptx 103 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 102 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 101 : 256 1824 0 0 0 0 0 0 0 
_1.ptx 299 : 1024 6400 0 0 0 0 0 0 0 
_1.ptx 100 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 99 : 256 768 0 0 0 0 0 0 0 
_1.ptx 297 : 1024 5312 4096 0 0 32 32 0 0 
_1.ptx 98 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 296 : 1024 11456 0 0 0 0 0 0 0 
_1.ptx 97 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 79 : 256 1696 0 0 0 0 0 0 0 
_1.ptx 278 : 1024 30944 0 0 0 0 0 0 0 
_1.ptx 78 : 256 2112 0 0 0 0 0 0 0 
_1.ptx 277 : 1024 187296 0 0 0 0 0 0 0 
_1.ptx 77 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 276 : 1024 11392 0 0 0 0 0 0 0 
_1.ptx 76 : 256 2112 0 0 0 0 0 0 0 
_1.ptx 275 : 1024 38176 0 0 0 0 0 0 0 
_1.ptx 80 : 256 2944 0 0 0 0 0 0 0 
_1.ptx 279 : 1024 11488 0 0 0 0 0 0 0 
_1.ptx 81 : 256 1632 0 0 0 0 0 0 0 
_1.ptx 280 : 1024 3136 0 0 0 0 0 0 0 
_1.ptx 82 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 281 : 1024 8384 0 0 0 0 0 0 0 
_1.ptx 83 : 256 768 0 0 0 0 0 0 0 
_1.ptx 282 : 1024 7328 0 0 0 0 0 0 0 
_1.ptx 84 : 256 768 0 0 0 0 0 0 0 
_1.ptx 283 : 1024 20704 0 0 0 0 0 0 0 
_1.ptx 85 : 256 1664 0 0 0 0 0 0 0 
_1.ptx 284 : 1024 11776 0 0 0 0 0 0 0 
_1.ptx 86 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 285 : 1024 112928 128 0 0 32 32 0 0 
_1.ptx 87 : 256 0 0 0 0 0 0 0 0 
_1.ptx 286 : 1024 35968 0 0 0 0 0 0 0 
_1.ptx 291 : 1024 80736 128 0 0 32 32 0 0 
_1.ptx 92 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 88 : 256 1664 0 0 0 0 0 0 0 
_1.ptx 287 : 1024 8768 0 0 0 0 0 0 0 
_1.ptx 292 : 1024 11360 0 0 0 0 0 0 0 
_1.ptx 93 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 89 : 256 1664 0 0 0 0 0 0 0 
_1.ptx 288 : 1024 8128 0 0 0 0 0 0 0 
_1.ptx 293 : 1024 3552 0 0 0 0 0 0 0 
_1.ptx 94 : 256 2656 0 0 0 0 0 0 0 
_1.ptx 90 : 256 1856 0 0 0 0 0 0 0 
_1.ptx 289 : 1024 13056 0 0 0 0 0 0 0 
_1.ptx 294 : 1024 7584 0 0 0 0 0 0 0 
_1.ptx 95 : 256 768 0 0 0 0 0 0 0 
_1.ptx 91 : 256 1600 0 0 0 0 0 0 0 
_1.ptx 290 : 1024 11296 0 0 0 0 0 0 0 
_1.ptx 295 : 1024 10816 0 0 0 0 0 0 0 
_1.ptx 96 : 256 2048 0 0 0 0 0 0 0 
_1.ptx 104 : 256 2880 0 0 0 0 0 0 0 
_1.ptx 106 : 256 2912 0 0 0 0 0 0 0 
_1.ptx 107 : 256 1920 0 0 0 0 0 0 0 
_1.ptx 108 : 256 1952 0 0 0 0 0 0 0 
_1.ptx 109 : 256 3008 0 0 0 0 0 0 0 
_1.ptx 110 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 111 : 256 2592 0 0 0 0 0 0 0 
_1.ptx 112 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 113 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 114 : 256 1568 0 0 0 0 0 0 0 
_1.ptx 115 : 256 1888 0 0 0 0 0 0 0 
